"LIBRARYREFERENCE","FOOTPRINT1","ANUNDA_CODE","COMMENT","MFG","MFG P/N","PRICE","SUPPLIER","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"C0603_080","C0603XS","M1855","=Value","YAGEO","CC0603DRNPO9BN8R0","0.6","Digikey","8pF","","C?","Capacitor 0603 8 pF"
"C0603_100","C0603XS","M0615","=Value","KEMET","C0603C100J5GAC7867","0.6","Digikey","10pF/50V","","C?","Capacitor 0603 10 pF 50V"
"C0603_101","C0603XS","M0016","=Value","TDK Corporation","C1608C0G1H101J080AA","0.6","Digikey","100pF","","C?","Capacitor 0603 100 pF"
"C0603_102","C0603XS","M0617","=Value","KEMET","C0603C102J5GAC7867","0.6","Digikey","1nF","","C?","Capacitor 0603 1000 pF"
"C0603_103","C0603XS","M0735","=Value","YAGEO","CC0603KRX7R9BB103","0.6","Digikey","0.01uF/50V","","C?","Capacitor 0603 10000 pF 50V"
"C0603_104","C0603XS","M0020","=Value","YAGEO","CC0603ZRY5V9BB104","0.6","Digikey","0.1uF","","C?","Capacitor 0603 0.1 uF"
"C0603_105_35V","C0603XS","M0618","=Value","TDK Corporation","C1608X5R1V105K080AB","0.6","Digikey","1uF/35V","","C?","Capacitor 0603 1 uF 35V X5R"
"C0603_105_50V","C0603XS","M1942","=Value","Murata Electronics","GRT188R61H105KE13D","0.6","Digikey","1uF/50V","","C?","Capacitor 0603 1 uF 50V X5R"
"C0603_120","C0603XS","M0015","=Value","KEMET","C0603C120J5GAC7867","0.6","Digikey","12pF","","C?","Capacitor 0603 12 pF"
"C0603_150_250V","C0603XS","M0988","=Value","YAGEO","AC0603JRNPOYBN150","0.6","Digikey","15pF/250V","","C?","Capacitor 0603 15 pF 250V"
"C0603_150_50V","C0603XS","M1421","=Value","YAGEO","CC0603JRNPO9BN150","0.6","Digikey","15pF/50V","","C?","Capacitor 0603 15 pF 50V"
"C0603_180","C0603XS","M0660","=Value","Murata Electronics","GRM1885C1H180JA01D","0.6","Digikey","18pF","","C?","Capacitor 0603 18 pF"
"C0603_220","C0603XS","M0614","=Value","TDK Corporation","C1608C0G1H220J080AA","0.6","Digikey","22pF/50V","","C?","Capacitor 0603 22 pF 50V"
"C0603_270","C0603XS","M0684","=Value","KEMET","C0603C270J5GAC7867","0.6","Digikey","27pF","","C?","Capacitor 0603 27 pF"
