"LIBRARYREFERENCE","FOOTPRINT1","ANUNDA_CODE","COMMENT","MFG","MFG P/N","PRICE","SUPPLIER","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"R0603_0R","R0603XS","M0195","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","0R","","R?","Resistor smd 0603 0 Ohm"
"R0603_101","R0603XS","M1032","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","100R","","R?","Resistor smd 0603 100 Ohm"
"R0603_102","R0603XS","M0189","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","1K","","R?","Resistor smd 0603 1 kOhm"
"R0603_103","R0603XS","M0186","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","10K","","R?","Resistor smd 0603 10 kOhm"
"R0603_104","R0603XS","M1115","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","100K","","R?","Resistor smd 0603 100 kOhm"
"R0603_105","R0603XS","M1030","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","1M","","R?","Resistor smd 0603 1 MOhm"
"R0603_10R","R0603XS","M0193","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","10R","","R?","Resistor smd 0603 10 Ohm"
"R0603_123","R0603XS","M1836","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","12K","","R?","Resistor smd 0603 12 kOhm"
"R0603_151","R0603XS","M0784","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","150R","","R?","Resistor smd 0603 150 Ohm"
"R0603_152","R0603XS","M0191","=Value","YAGEO","RC0603JR-071K5L","0.4","Digikey","1.5K","","R?","Resistor smd 0603 1.5 kOhm"
"R0603_153","R0603XS","M0199","=Value","Panasonic Electronic Components","ERJ-3EKF1502V","0.4","Digikey","15K","","R?","Resistor smd 0603 15 kOhm"
"R0603_184","R0603XS","M1117","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","180K","","R?","Resistor smd 0603 180 kOhm"
"R0603_18R","R0603XS","M0630","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","18R","","R?","Resistor smd 0603 18 Ohm"
"R0603_203","R0603XS","M0657","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","20K","","R?","Resistor smd 0603 20 kOhm"
"R0603_204","R0603XS","M1114","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","200K","","R?","Resistor smd 0603 200 kOhm"
"R0603_221","R0603XS","M0194","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","220R","","R?","Resistor smd 0603 220 Ohm"
"R0603_222","R0603XS","M0778","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","2.2K","","R3","Resistor smd 0603 2.2 kOhm"
"R0603_273","R0603XS","M1765","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","27K","","R?","Resistor smd 0603 27 kOhm"
"R0603_331","R0603XS","M0785","=Value","TE Connectivity","CRG0603F330R","0.4","Digikey","330R","","R?","Resistor smd 0603 330 Ohm"
"R0603_332","R0603XS","M0872","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","3.3K","","R?","Resistor smd 0603 3.3 kOhm"
"R0603_33R","R0603XS","M0697","=Value","Panasonic Electronic Components","ERJ-3EKF33R0V","0.4","Digikey","33R","","R?","Resistor smd 0603 33 Ohm"
"R0603_391","R0603XS","M0197","=Value","Panasonic","P390HTR-ND","0.4","Digikey","390R","","R?","Resistor smd 0603 390 Ohm"
"R0603_471","R0603XS","M0682","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","470R","","R?","Resistor smd 0603 470 Ohm"
"R0603_472","R0603XS","M0198","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","4.7K","","R?","Resistor smd 0603 4.7 kOhm"
"R0603_473","R0603XS","M0793","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","47K","","R?","Resistor smd 0603 47 kOhm"
"R0603_51R","R0603XS","M0187","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","51R","","R?","Resistor smd 0603 51 Ohm"
"R0603_682","R0603XS","M0698","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","6.8K","","R?","Resistor smd 0603 6.8 kOhm"
"R0603_683","R0603XS","M0200","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","68K","","R?","Resistor smd 0603 68 kOhm"
"R0603_822","R0603XS","M0201","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","8.2K","","R?","Resistor smd 0603 8.2 kOhm"
"R0603_912","R0603XS","M0202","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","9.1K","","R?","Resistor smd 0603 9.1 kOhm"
"R0805_0R","R0805XS","M0205","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","0R","","R?","Resistor smd 0805 0 Ohm"
"R0805_101","R0805XS","M0221","=Value","ROHM","","0.4","Digikey","100R","","R?","Resistor smd 0805 100 Ohm"
"R0805_102","R0805XS","M0207","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","1K","","R?","Resistor smd 0805 1 kOhm"
"R0805_103","R0805XS","M0206","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","10K","","R?","Resistor smd 0805 10 kOhm"
"R0805_104","R0805XS","M1460","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","100K","","R?","Resistor smd 0805 100 kOhm"
"R0805_105","R0805XS","M0208","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","1M","","R?","Resistor smd 0805 1 MOhm"
"R0805_121","R0805XS","M0219","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","120R","","R?","Resistor smd 0805 120 Ohm"
"R0805_183","R0805XS","M0222","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","18K","","R?","Resistor smd 0805 18 kOhm"
"R0805_18R","R0805XS","M0632","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","18R","","R?","Resistor smd 0805 18 Ohm"
"R0805_224","R0805XS","M1459","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","220K","","R?","Resistor smd 0805 220 kOhm"
"R0805_332","R0805XS","M0213","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","3.3K","","R?","Resistor smd 0805 3.3 kOhm"
"R0805_334","R0805XS","M1457","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","330K","","R?","Resistor smd 0805 330 kOhm"
"R0805_392","R0805XS","M1476","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","3.9K","","R?","Resistor smd 0805 3.9 kOhm"
"R0805_393","R0805XS","M1479","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","39K","","R?","Resistor smd 0805 39 kOhm"
"R0805_472","R0805XS","M0659","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","4.7K","","R?","Resistor smd 0805 4.7 kOhm"
"R0805_473","R0805XS","M1456","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","47K","","R?","Resistor smd 0805 47 kOhm"
"R0805_474","R0805XS","M1455","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","470K","","R?","Resistor smd 0805 470 kOhm"
"R0805_562","R0805XS","M0696","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","5.6K","","R?","Resistor smd 0805 5.6 kOhm"
"R0805_682","R0805XS","M1452","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","6.8K","","R?","Resistor smd 0805 6.8 kOhm"
"R0805_683","R0805XS","M1451","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","68K","","R?","Resistor smd 0805 68 kOhm"
"R0805_822","R0805XS","M2027","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","8.2K","","R?","Resistor smd 0805 8.2 kOhm"
"R1206_0R","R1206X","M0223","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","0R","","R?","Resistor smd 1206 0 Ohm"
"R1206_101","R1206X","M0231","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","100R","","R?","Resistor smd 1206 100 Ohm"
"R1206_102","R1206X","M0695","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","1K","","R?","Resistor smd 1206 1 kOhm"
"R1206_103","R1206X","M0224","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","10K","","R?","Resistor smd 1206 10 kOhm"
"R1206_105","R1206X","M0824","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","1M","","R?","Resistor smd 1206 1 MOhm"
"R1206_10R","R1206X","M0871","=Value","ROHM","MCR10ERTJ000","0.4","Digikey","10R","","R?","Resistor smd 1206 10 Ohm"
