"LIBRARYREFERENCE","FOOTPRINT1","ANUNDA_CODE","COMMENT","DATASHEETVERSION","DIGI-KEY","ES P/N","LATESTREVISIONDATE","LATESTREVISIONNOTE","MFG","MFG P/N","NOTE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PUBLISHED","PUBLISHER","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"2N7002","SOT23_N_2","M1070","=Value","27-Jul-2000","","","12-Dec-2006","IPC-7351 Footprint Added.","ON Semiconductor","2N7002LT1G","","3-Pin SOT-23 Package 0.95 mm Pitch, 2.3 mm Lead Span","SOT23","May-1999","17-Sep-2003","Altium Limited","2N7002","","Q?","N-channel Enhancement Mode Field-effect Transistor 2N7002"
"BSS84","SOT23_N_2","M1904","=Value","18-Jun-1997","","","12-Dec-2006","IPC-7351 Footprint Added.","Nexperia USA Inc.","BSS84AK,215","","3-Pin SOT-23 Package 0.95 mm Pitch, 2.3 mm Lead Span","SOT23","May-1999","17-Sep-2003","Altium Limited","BSS84","","Q?","P-channel Enhancement Mode Vertical D-MOSFET BSS84"
"DMG6601LVT-7","SOT23-6","M1914","=Value","","","","","","Diode Incorporated","DMG6601LVT-7","","","","","","","DMG6601LVT-7","*","U?","DMG6601LVT-7COMPLEMENTARY PAIR ENHANCEMENT MODE MOSFET"
"DTC143ZCAT116","SOT23_N_2","M2034","=Value","13-May-2002","","0176-1565-6","12-Dec-2006","IPC-7351 Footprint Added.","Rohm Semiconductor","DTC143ZCAT116","","3-Pin SOT-23 Package 0.95 mm Pitch, 2.3 mm Lead Span","SOT23","May-1999","17-Sep-2003","Altium Limited","DTC143ZCAT116","","Q?","DTC143ZCAT116 
Digital Transistor NPN 50V/100mA, 200mW 4.7 kOhm and 47 kOhm Built-in Bias Resistors"
"FDN327N","SOT23_N_2","M2008","=Value","27-Jul-2000","","","12-Dec-2006","IPC-7351 Footprint Added.","ON Semiconductor","FDN327N","","3-Pin SOT-23 Package 0.95 mm Pitch, 2.3 mm Lead Span","SOT23","May-1999","17-Sep-2003","Altium Limited","FDN327N","","Q?","Transistor FDN327N N-CH 20V 2A MOSFET 0.5W"
"IMH9AT110","SOT457-6","M2062","=Value","13-May-2002","","0176-1565-6","12-Dec-2006","IPC-7351 Footprint Added.","Rohm Semiconductor"," IMH9AT110","","6-Pin SOT-457 Package 0.95 mm Pitch, 2.3 mm Lead Span","SOT457-6","May-1999","17-Sep-2003","Altium Limited","IMH9AT110","","Q?","IMH9AT110
Dual Digital Transistor NPN 50V/100mA,10kO and 47kO Built-in Bias Resistors"
"NTLJF3117PT1G","WDFN6_HS-7N","","NTLJF3117PT1G","","","","","","","","","","","","","","","*","U?","Power MOSFET P-CH with Schottky Diode"
"RQ5C060BC","SOT-23(SOT-23-3)","M1937","=Value","PD-9.390D","","","17-Jul-2002","Re-released for DXP Platform.","Rohm Semiconductor","RQ5C060BCTCL","Pin 4 not drawn and electrically connected to Pin 2.","TO, Thru-Hole, Vertical, Heatsink Mounted; 3 In-Line Leads; Pitch 2.54 mm","TO-220AB","Feb-1997","8-Jun-2000","Altium Limited","RQ5C060BC","","Q?","P-Channel Power MOSFET RQ5C060BC"
"SI2301CDS","SOT23_N_2","","SI2301CDS","PD-9.390D","SI2301CDS-T1-GE3CT-ND","","17-Jul-2002","Re-released for DXP Platform.","","","Pin 4 not drawn and electrically connected to Pin 2.","","TO-220AB","Feb-1997","8-Jun-2000","Altium Limited","","","Q?","SI2301CDS  P-Channel 20V 3.1A (Tc) 860mW (Ta), 1.6W (Tc) Surface Mount SOT-23-3 (TO-236)"
"SMBT3904","SOT23_N_2","M0292","=Value","13-May-2002","","","12-Dec-2006","IPC-7351 Footprint Added.","Diode Incorporated","MMBT3904-7-F","","3-Pin SOT-23 Package 0.95 mm Pitch, 2.3 mm Lead Span","SOT23","May-1999","17-Sep-2003","Altium Limited","SMBT3904","","Q?","NPN Switching Transistor  SMBT3904 SOT-23"
"SSM3J332R","SOT-23(SOT-23-3)","","=Value","PD-9.390D","","","17-Jul-2002","Re-released for DXP Platform.","Toshiba Semiconductor and Storage","SSM3J332R,LF","Pin 4 not drawn and electrically connected to Pin 2.","TO, Thru-Hole, Vertical, Heatsink Mounted; 3 In-Line Leads; Pitch 2.54 mm","SOT-23F","Feb-1997","8-Jun-2000","Altium Limited","SSM3J332R","","Q?","P-Channel Power MOSFET 30V/6A SSM3J332R"
