"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","AMBIENT_TEMPERATURE_RANGE_HIGH","AMBIENT_TEMPERATURE_RANGE_LOW","ANUNDA_CODE","CLASSNAME","CODE_IPC","CODE_JEDEC","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","DATASHEET","DATASHEETVERSION","DIGI-KEY","DIGIKEY_DESCRIPTION","DIGIKEY_PART_NUMBER","DIGIKEY_PN:","LATESTREVISIONDATE","LATESTREVISIONNOTE","MF","MFG","MFG P/N","MFG_PACKAGE_IDENT","MFR_NAME","MP","MPN","NOTEPAD","PACKAGE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGETOPMARKING","PACKAGEVERSION","PACKAGING","PACKING","PART DESCRIPTION","PCB DECAL","PINCOUNT","PINS","POWERWISE","PREFIX","PRICE","PUBLISHED","PUBLISHER","RADIATION HARDENING","RAM_SIZE","REACH SVHC","REFDES","REPLACEMENT","ROHS","ROHSCOMPLIANT","SET POSITION","SIM NOTE","SNAPEDA_LINK","STANDOFF_HEIGHT","SUPPLIER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIERSPARTNUMBER","SUPPLY VOLTAGE(VCC) MAX (V)","SUPPLY VOLTAGE(VCC) MIN (V)","SYMBOLNAME_1","SYMBOLNAME_2","TEMPERATURE_RANGE_HIGH","TEMPERATURE_RANGE_LOW","TEXT","TYPE","UNITPRICE","VALUE","VERIFICATION_VERSION","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"74HC595D_[C5947]","SOIC-16_150mil","","","","","","","","","","74HC595D","","","","","","","","","","","","","","","","","","","SOIC-16_150mil","","","","","","","","","","","","","","","","","","","","","","","","","","","LC","","","","","","","","","C5947","","","","","","","","","","","","","*","U?","74HC595D"
"74LVC1T45GW","SOT363","","","","","","M2037","","","","74LVC1T45","","","","","","","","1727-8054-1-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC 74LVC1T45GW-W100H Level Translator 6-TSSOP"
"74LVCH2T45DC","VSSOP-8","","","","","","","","","","74LVCH2T45DC","","","","","","","","1727-8054-1-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC 74LVCH2T45DC-Q100H Level Translator VSSOP-8"
"A7670E","A7670E","","","","","","*","","","","A7670E","","","","","","","","","","","Simcom","","","","","A7607E","","","None","","","","","","","","","","","","","None","","","","","","","","","","","","https://www.snapeda.com/parts/SIM7600E-H/SIMcom%20Wireless%20solutions%20Co.%2CLtd/view-part/2758290/?ref=snap","","","","","","","","","","","","","","","","","","","","","*","","","*","U?","4G LTE Module, SIMCOM A7670E"
"ADR512ARTZ","SOT23_N_2","","","","","","","","","","ADR512ARTZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","ADR512ARTZ VRef Shunt Precision 1.2V SOT-23-3"
"ANT_WM16803CT-ND","WM16803CT-ND","","","","","","","","","","WM16803CT-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","A?","SMD Ant. molex WM16803CT-ND"
"AP7331-SNG","DFN2020-6_HS-7N","","","","","","","","","","AP7331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","300mA, LOW QUIESCENT CU  RRENT, FAST TRANSIENT   LOW DROPOUT LINEAR REGULATOR"
"AP7361C","U-DFN3030-8","","","","","","M1966","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AP7361C-FGE-7","","","*","U?","AP7361C-FGE-7   Low Dropout Adjustable 1A Regulator"
"AT45DB161E","SOIC-8_208mil","","","","","","M1909","","","","AT45DB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","AT45DB161E-SUD-T Flash Memory 16M, 2.5-3.6V SPI SOIC-8"
"Ant_W3544A","W3544A","","","","","","N2212","","","","W3544A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","LTE Antenna (W3544A) 850-900/1710-2170MHz PCB Trace"
